"R","G","B","Gray",,"Median",,,
126,210,201,210,,,,,
126,173,167,178,,,,,
129,176,169,180,,,,,
132,167,164,171,,,,,
131,160,158,167,,,,,
130,132,132,142,,,,,
131,130,134,143,,,,,
129,146,145,154,,,,,
129,152,148,131,,,,,
183,172,171,177,,,,,
129,155,152,153,,,,,
199,195,191,199,,,,,
167,186,181,191,,,,,
207,201,196,206,,,,,
191,181,178,186,,,,,
189,196,191,199,,,,,
198,216,209,220,,,,,
194,185,183,190,,,,,
189,179,179,184,,,,,
191,180,178,184,,,,,
137,167,168,172,,,,,
146,177,176,182,,,,,
186,180,176,186,,,,,
152,160,162,165,,,,,
180,170,167,176,,,,,
179,174,169,179,,,,,
198,190,186,195,,,,,
195,187,183,193,,,,,
199,198,194,204,,,,,
199,213,204,216,,,,,
201,193,191,198,,,,,
200,208,202,210,,,,,
201,214,206,218,,,,,
202,219,212,223,,,,,
138,193,186,199,,,,,
200,196,192,200,,,,,
199,188,185,194,,,,,
182,170,167,176,,,,,
155,158,157,163,,,,,
181,169,167,175,,,,,
184,171,168,178,,,,,
181,172,166,178,,,,,
193,187,184,192,,,,,
193,191,187,196,,,,,
191,190,189,196,,,,,
188,184,180,190,,,,,
189,177,174,183,,,,,
183,167,166,173,,,,,
162,153,153,155,,,,,
157,153,152,158,,,,,
142,152,153,159,,,,,
176,168,165,173,,,,,
182,179,174,183,,,,,
190,187,183,192,,,,,
190,187,184,192,,,,,
196,191,187,195,,,,,
196,196,192,201,,,,,
192,197,193,204,,,,,
160,206,198,211,,,,,
209,212,207,217,,,,,
191,198,194,201,,,,,
133,100,100,110,,,,,
122,86,83,97,,,,,
136,107,110,117,,,,,
144,152,153,156,,,,,
147,148,150,155,,,,,
140,142,148,147,,,,,
135,119,119,130,,,,,
139,124,122,133,,,,,
140,118,118,126,,,,,
130,96,101,108,,,,,
98,74,71,86,,,,,
111,82,76,91,,,,,
128,137,135,140,,,,,
132,155,156,158,,,,,
141,164,169,169,,,,,
129,125,122,130,,,,,
124,100,95,109,,,,,
131,104,107,114,,,,,
131,115,110,121,,,,,
119,93,93,102,,,,,
122,108,107,112,,,,,
126,159,170,164,,,,,
133,189,195,193,,,,,
177,197,205,204,,,,,
195,207,210,214,,,,,
176,197,202,204,,,,,
193,201,206,209,,,,,
203,210,215,217,,,,,
198,206,212,215,,,,,
209,195,202,205,,,,,
207,215,222,224,,,,,
192,207,213,214,,,,,
175,193,200,200,,,,,
181,197,204,204,,,,,
166,186,194,192,,,,,
165,185,192,192,,,,,
148,170,178,176,,,,,
132,136,130,143,,,,,
141,168,181,175,,,,,
142,181,189,187,,,,,
138,157,165,160,,,,,
132,106,106,114,,,,,
126,100,95,110,,,,,
133,122,121,131,,,,,
133,171,177,174,,,,,
190,221,224,229,,,,,
212,229,230,233,,,,,
208,227,230,232,,,,,
208,221,225,228,,,,,
224,221,226,229,,,,,
203,199,205,208,,,,,
165,184,188,191,,,,,
178,193,197,198,,,,,
142,171,176,175,,,,,
139,181,187,181,,,,,
138,174,179,177,,,,,
130,125,118,128,,,,,
135,151,146,148,,,,,
132,164,165,164,,,,,
139,186,188,189,,,,,
133,180,184,183,,,,,
175,208,214,214,,,,,
176,216,218,222,,,,,
172,229,231,236,,,,,
202,207,213,216,,,,,
168,229,233,236,,,,,
133,105,98,112,,,,,
157,213,218,221,,,,,
148,160,159,166,,,,,
135,104,101,115,,,,,
124,100,96,111,,,,,
125,97,91,107,,,,,
127,96,92,107,,,,,
119,91,82,99,,,,,
108,80,72,88,,,,,
110,73,68,83,,,,,
108,71,65,83,,,,,
112,79,73,88,,,,,
119,88,79,97,,,,,
130,105,97,111,,,,,
132,113,112,121,,,,,
134,110,115,124,,,,,
130,108,105,116,,,,,
157,162,159,165,,,,,
122,91,85,100,,,,,
109,83,76,92,,,,,
109,76,70,86,,,,,
106,77,70,86,,,,,
86,84,73,89,,,,,
112,93,85,101,,,,,
121,103,100,111,,,,,
124,111,120,119,,,,,
121,103,99,113,,,,,
121,97,95,106,,,,,
119,94,92,103,,,,,
120,93,88,103,,,,,
121,93,89,102,,,,,
119,92,86,100,,,,,
116,90,86,99,,,,,
119,95,91,104,,,,,
120,94,89,103,,,,,
123,95,91,103,,,,,
129,101,99,110,,,,,
120,98,94,106,,,,,
123,103,99,111,,,,,
124,97,95,107,,,,,
111,90,85,98,,,,,
123,104,101,112,,,,,
112,97,92,105,,,,,
122,182,171,175,,,,,
116,139,120,122,,,,,
123,175,151,167,,,,,
118,172,112,155,,,,,
113,93,90,101,,,,,
117,119,101,111,,,,,
116,118,103,113,,,,,
117,105,96,110,,,,,
114,100,95,107,,,,,
108,94,87,101,,,,,
108,93,88,101,,,,,
111,91,86,100,,,,,
112,101,92,107,,,,,
110,98,93,106,,,,,
114,99,94,106,,,,,
108,96,92,104,,,,,
112,100,92,107,,,,,
116,120,105,116,,,,,
111,106,97,111,,,,,
120,154,128,161,,,,,
115,127,101,124,,,,,
111,104,94,107,,,,,
110,108,94,112,,,,,
112,111,98,115,,,,,
127,199,188,200,,,,,
126,198,187,202,,,,,
110,99,89,106,,,,,
127,204,192,204,,,,,
124,193,188,198,,,,,
122,213,203,215,,,,,
119,126,109,126,,,,,
126,191,188,193,,,,,
126,238,227,235,,,,,
128,201,191,203,,,,,
128,204,196,208,,,,,
124,133,117,138,,,,,
125,233,197,231,,,,,
129,227,212,219,,,,,
129,230,218,224,,,,,
129,234,233,228,,,,,
162,214,198,222,,,,,
130,222,196,227,,,,,
125,223,204,231,,,,,
126,196,189,202,,,,,
129,189,178,193,,,,,
163,175,171,178,,,,,
150,186,180,191,,,,,
142,203,189,208,,,,,
156,194,185,197,,,,,
162,196,190,199,,,,,
128,218,198,215,,,,,
129,195,189,196,,,,,
128,210,200,208,,,,,
132,215,200,213,,,,,
132,222,207,225,,,,,
132,227,197,225,,,,,
149,201,188,201,,,,,
128,232,222,235,,,,,
135,218,211,221,,,,,
128,227,212,230,,,,,
151,234,222,233,,,,,
128,236,227,237,,,,,
131,219,207,223,,,,,
127,238,233,238,,,,,
147,229,223,232,,,,,
148,233,217,236,,,,,
150,213,200,216,,,,,
131,236,209,240,,,,,
131,240,227,239,,,,,
161,240,216,242,,,,,
175,226,204,229,,,,,
187,240,230,235,,,,,
133,243,239,246,,,,,
169,242,237,246,,,,,
156,242,237,246,,,,,
171,234,226,234,,,,,
152,240,233,242,,,,,
174,226,215,231,,,,,
176,241,237,244,,,,,
180,218,212,221,,,,,
172,218,206,228,,,,,
173,201,194,206,,,,,
169,190,188,194,,,,,
142,185,177,188,,,,,
138,170,162,171,,,,,
134,156,149,160,,,,,
125,135,126,135,,,,,
122,97,100,109,,,,,
121,95,92,104,,,,,
121,92,93,103,,,,,
120,91,92,101,,,,,
121,94,91,104,,,,,
125,99,99,109,,,,,
128,141,137,141,,,,,
139,163,160,166,,,,,
139,183,183,188,,,,,
137,178,177,179,,,,,
131,163,160,167,,,,,
130,154,150,157,,,,,
127,119,120,118,,,,,
125,93,94,104,,,,,
124,92,93,105,,,,,
124,85,86,96,,,,,
116,74,75,86,,,,,
125,83,85,97,,,,,
122,75,81,92,,,,,
123,86,86,98,,,,,
122,87,87,98,,,,,
126,100,98,109,,,,,
127,168,152,168,,,,,
181,209,198,210,,,,,
111,159,133,143,,,,,
107,126,103,123,,,,,
105,139,129,139,,,,,
203,244,238,246,,,,,
118,198,151,186,,,,,
117,192,184,171,,,,,
185,223,207,209,,,,,
187,205,206,207,,,,,
187,204,195,206,,,,,
176,199,183,196,,,,,
146,171,161,175,,,,,
122,170,164,172,,,,,
124,127,122,135,,,,,
115,90,85,98,,,,,
114,89,84,97,,,,,
116,94,86,99,,,,,
119,92,93,103,,,,,
123,98,95,107,,,,,
126,136,134,139,,,,,
127,156,152,159,,,,,
130,169,162,170,,,,,
152,186,176,180,,,,,
170,186,181,184,,,,,
166,190,182,196,,,,,
168,192,189,194,,,,,
180,196,191,197,,,,,
174,193,186,189,,,,,
166,171,166,176,,,,,
129,161,158,165,,,,,
128,150,143,154,,,,,
120,143,129,145,,,,,
125,141,135,142,,,,,
166,163,159,166,,,,,
200,187,184,192,,,,,
204,207,203,211,,,,,
201,223,220,226,,,,,
203,220,218,223,,,,,
212,224,222,228,,,,,
208,221,222,226,,,,,
202,215,215,220,,,,,
188,200,202,204,,,,,
181,192,199,200,,,,,
163,199,204,207,,,,,
156,206,210,213,,,,,
158,205,209,212,,,,,
183,212,215,218,,,,,
203,219,220,225,,,,,
207,216,219,222,,,,,
206,211,213,215,,,,,
201,199,201,204,,,,,
177,175,179,180,,,,,
177,166,168,172,,,,,
156,146,147,149,,,,,
155,145,145,150,,,,,
162,153,154,157,,,,,
147,134,136,141,,,,,
135,150,147,154,,,,,
135,159,157,163,,,,,
162,173,167,177,,,,,
131,181,179,186,,,,,
136,205,195,204,,,,,
171,202,196,204,,,,,
135,195,189,198,,,,,
135,192,187,190,,,,,
122,174,170,175,,,,,
115,98,95,106,,,,,
116,93,88,102,,,,,
113,86,83,94,,,,,
111,85,83,95,,,,,
102,79,76,88,,,,,
89,76,73,86,,,,,
95,75,72,84,,,,,
107,89,84,97,,,,,
107,93,88,98,,,,,
110,96,90,101,,,,,
112,100,96,103,,,,,
113,100,102,105,,,,,
120,132,154,135,,,,,
124,195,218,165,,,,,
125,230,231,208,,,,,
122,198,204,172,,,,,
121,229,210,207,,,,,
116,234,233,210,,,,,
123,235,232,220,,,,,
121,226,235,218,,,,,
116,205,220,217,,,,,
123,242,239,242,,,,,
126,244,239,246,,,,,
125,243,241,247,,,,,
125,244,242,247,,,,,
125,244,242,247,,,,,
124,244,241,247,,,,,
127,244,242,247,,,,,
124,243,241,243,,,,,
127,244,243,247,,,,,
134,245,242,247,,,,,
128,245,241,247,,,,,
126,245,241,247,,,,,
128,245,243,247,,,,,
129,244,241,246,,,,,
131,242,239,243,,,,,
132,223,201,213,,,,,
130,198,194,189,,,,,
129,205,202,199,,,,,
128,243,236,239,,,,,
117,225,222,211,,,,,
122,240,236,231,,,,,
120,245,237,231,,,,,
114,221,229,199,,,,,
122,232,219,224,,,,,
118,169,172,150,,,,,
113,99,92,103,,,,,
113,100,98,105,,,,,
114,99,97,105,,,,,
117,100,99,106,,,,,
120,102,100,110,,,,,
125,162,176,163,,,,,
128,246,237,248,,,,,
114,246,237,248,,,,,
124,247,239,249,,,,,
123,246,239,248,,,,,
179,247,241,248,,,,,
124,246,242,248,,,,,
123,245,242,247,,,,,
228,235,232,238,,,,,
216,228,228,232,,,,,
201,221,223,224,,,,,
194,205,205,208,,,,,
182,195,196,199,,,,,
166,173,173,179,,,,,
131,153,156,157,,,,,
171,165,168,170,,,,,
183,178,181,183,,,,,
195,198,199,203,,,,,
186,191,189,197,,,,,
196,207,210,209,,,,,
208,210,211,214,,,,,
200,209,208,212,,,,,
199,190,194,195,,,,,
215,215,221,222,,,,,
215,221,223,228,,,,,
180,213,221,225,,,,,
178,218,219,227,,,,,
159,212,210,218,,,,,
156,206,197,213,,,,,
145,200,175,199,,,,,
160,206,209,213,,,,,
149,170,168,168,,,,,
135,167,159,166,,,,,
134,195,166,188,,,,,
149,216,213,223,,,,,
145,205,196,203,,,,,
149,210,203,216,,,,,
185,211,212,220,,,,,
150,203,197,204,,,,,
147,221,216,227,,,,,
158,226,221,232,,,,,
193,237,235,240,,,,,
188,239,243,243,,,,,
183,235,235,240,,,,,
192,228,231,235,,,,,
209,207,220,219,,,,,
219,226,231,234,,,,,
213,203,213,213,,,,,
215,221,227,229,,,,,
195,225,232,232,,,,,
213,229,236,234,,,,,
187,230,236,238,,,,,
162,222,225,228,,,,,
175,222,228,229,,,,,
175,216,224,225,,,,,
209,218,226,228,,,,,
"-----","-----","-----","-----",,,,,
